index,score_scale,score_binary,full_text
107,0.5,"[[3, -1]]","Quadruplica, desde 2013, número de licenças de habitação social em São Paulo, graças ao nosso premiado Plano Diretor e às inovações na gestão de licenciamento:  https://t.co/48FoMDjEsn"
108,0.5,"[[3, -1]]","Joênia Wapichana, eleita deputada federal, se junta a Mandela e Malala com principal prêmio de direitos humanos da ONU. Leia a aula de entrevista que ela deu a BBC sobre aculturação.
https://t.co/mDHNeG0HqM"
109,0.5,"[[3, -1]]","Artigo do prêmio Nobel Paul Krugman sobre como a democracia vai sendo minada por dentro das instituições. O caso da saúde pública nos EUA.
https://t.co/k2Tnh6cGTG"
110,0.5,"[[3, -1]]",Força Freixo! Conta com a gente. https://t.co/QR0pqEea9U
111,0.5,"[[3, -1]]","Depois de Black Mirror, The Handmaid’s Tale é das distopias que mais dialoga com as bozoaflições contemporâneas. Vale a pena. A trilha sonora é muito boa. Nada comparável a Peaky Blinders, mas de muito bom gosto."
112,0.5,"[[4, -2]]",Minha total solidariedade à comunidade judaica. Insuportável a intolerância. Por um mundo de paz e harmonia!
113,0.5,"[[3, -1]]","Agradeço você que está na rua, lutando por um país livre e democrático. Sei do esforço que vocês estão fazendo, mas valerá a pena. Vote com um livro na mão Urna é lugar de depositar esperança."
114,0.5,"[[3, -1]]","A causa é a da liberdade, as pessoas querem se sentir seguras, independente do que elas sejam. Nós conquistamos as liberdades pela Constituição de 1988."
115,0.5,"[[3, -1]]",Haddad responde perguntas da população e conversa com artistas e personalidades. #ViraVirouHaddad13 https://t.co/BdOVOXyaFp
116,0.5,"[[3, -1]]",Haddad responde perguntas da população e conversa com artistas e personalidades. #ViraVirouHaddad13 https://t.co/zPuTDQHb04
117,0.5,"[[3, -1]]","RT @zecabaleiro_of: Esses são os 3 principais motivos pelos quais eu voto #Haddad no segundo turno. Vote com esperança! 
É isso aí @brunaca…"
118,0.5,"[[3, -1]]",Haddad responde perguntas da população e conversa com artistas e personalidades. #ViraVirouHaddad13 https://t.co/6AXXUyJVZS
119,0.5,"[[3, -1]]","RT @criolomc: Pelo diálogo, contra o autoritarismo. 
Pela democracia, contra o fascismo. 
#haddad13 #haddadpresidente https://t.co/IGAk6cXd…"
120,0.5,"[[3, -1]]","RT @cidfgomes: Que não fique nenhuma dúvida: neste segundo turno, Haddad é o melhor para o Brasil. #DemocraciaSim https://t.co/j5njtjQSUC"
121,0.5,"[[3, -1]]","O índio ama sua cultura e quer preservá-la. O índio quer ser respeitado, não ser assimilado a outras culturas. O que o Bolsonaro não compreende é que ao demarcar terras indígenas você preserva o planeta, não só aquela cultura."
122,0.5,"[[3, -1]]","Se eu tiver a honra de receber esse crédito desses brasileiros, a minha atitude será, em primeiro lugar, reconhecer a natureza dessa vitória, que não é de uma pessoa ou de um partido, mas de um projeto de nação. É um voto na esperança, na democracia e na liberdade."
123,0.5,"[[4, -2]]","Viver com medo não dá. Temos que viver com paz. Estou recebendo apoio de muitos políticos, inclusive de antipetistas, que entenderam que a saída democrática é mais importante, independente se vão fazer oposição ou posição ao governo."
124,0.5,"[[3, -1]]","Na universidade não tive colegas negros. Para o meu prejuízo e para o prejuízo da comunidade negra. Hoje, felizmente, a universidade mudou de cor, mudou para melhor, porque ela é mais diversa."
125,0.5,"[[3, -1]]",Haddad responde perguntas da população e conversa com artistas e personalidades. #ViraVirouHaddad13 https://t.co/UeQ4RVSYWB
126,0.5,"[[4, -2]]","RT @joaquimboficial: Votar é fazer uma escolha racional. Eu, por exemplo, sopesei os aspectos positivos e os negativos dos dois candidatos…"
127,0.5,"[[3, -1]]","Bora virar voto! Domingo é dia de celebrar a vitória do Brasil. #HaddadPresidente 

Vídeo: Ricardo Stuckert https://t.co/Ee302JgXdB"
128,0.5,"[[3, -1]]","O PT é um partido que nasceu da base do movimento sindical, das comunidades eclesiais de base da Igreja Católica e de intelectuais progressistas. Nasceu rejeitando qualquer regime de força, de qualquer lado que seja. Somos libertários e igualitários. #SabatinaHaddad"
129,0.5,"[[3, -1]]",Haddad participa de sabatina na TVE #HaddadPresidente https://t.co/fgq7BhHbTs
130,0.5,"[[3, -1]]",Fernando Haddad chega a Bahia #HoraDaVirada #HaddadPresidente https://t.co/aBMD1oP96q
131,0.5,"[[3, -1]]",Fernando Haddad chega a Bahia #HoraDaVirada #HaddadPresidente https://t.co/V9ndw4uVmT
132,0.5,"[[3, -1]]",Fernando Haddad chega a Bahia #HoraDaVirada #HaddadPresidente https://t.co/OLHxvwTN2Z
133,0.5,"[[3, -1]]",Obrigado a todos os brasileiros e brasileiras que estão nas ruas empenhados em fazer acontecer essa histórica virada! Domingo celebraremos juntos a vitória da democracia! #BrasilViraHaddad
134,0.5,"[[3, -1]]",Haddad na hora da virada fala com a rádio Super de Minas Gerais. #democracia #vote13 #voteHaddad13 https://t.co/qM3aM5syuD
135,0.5,"[[3, -1]]",Tudo que fizemos nos trouxe até esse momento. Nossa luta pela democracia e pelos direitos do povo nos fizeram chegar até aqui. Vamos colorir as ruas de sonhos e esperança. Olhar nos olhos do povo e falar sobre o Brasil dos nossos melhores e mais generosos sonhos. Agora é rua!
